t (s),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
7.3775269985198975,-3824.00,12648.00,9324.00,-844.00,24.00,125.00,-1.45
7.435086011886597,-3444.00,12740.00,8968.00,-1015.00,-31.00,118.00,-1.47
7.492294073104858,-3868.00,12604.00,9432.00,-988.00,-40.00,40.00,-1.62
7.549678802490234,-3336.00,12732.00,10148.00,-1017.00,-9.00,10.00,-1.28
7.611483097076416,-3380.00,12384.00,10628.00,-1304.00,-138.00,-186.00,-1.28
7.668973684310913,-3128.00,13024.00,9900.00,-983.00,-213.00,100.00,-1.27
7.730386018753052,-3680.00,12472.00,10672.00,-908.00,-113.00,240.00,-1.03
7.7878642082214355,-3872.00,13064.00,10436.00,-905.00,-7.00,277.00,-1.30
7.845094203948975,-4124.00,12780.00,10412.00,-676.00,84.00,142.00,-1.09
7.89787745475769,-3700.00,12640.00,10440.00,-518.00,26.00,298.00,-1.09
7.955585718154907,-3804.00,12768.00,9784.00,-586.00,81.00,105.00,-1.35
8.01244068145752,-3384.00,12888.00,9716.00,-459.00,8.00,204.00,-1.50
8.06607961654663,-3060.00,12672.00,9704.00,-838.00,4.00,-11.00,-1.50
8.123477220535278,-3072.00,12944.00,9644.00,-743.00,32.00,119.00,-1.33
8.176802396774292,-3452.00,12532.00,9964.00,-1023.00,13.00,32.00,-1.43
8.23422360420227,-3580.00,12964.00,9620.00,-1053.00,-34.00,65.00,-1.26
8.291307210922241,-3800.00,12888.00,9860.00,-1022.00,-7.00,12.00,-1.37
8.352433919906616,-3388.00,12776.00,10092.00,-1044.00,-60.00,-15.00,-1.33
8.410054683685303,-3668.00,12876.00,10280.00,-959.00,-41.00,40.00,-1.41
8.463892936706543,-3644.00,12636.00,10468.00,-796.00,-77.00,82.00,-1.41
8.521023750305176,-3428.00,12864.00,10176.00,-803.00,167.00,28.00,-1.36
8.578800916671753,-3892.00,12708.00,10432.00,-490.00,117.00,97.00,-1.29
8.638885259628296,-3596.00,12540.00,10216.00,-625.00,143.00,219.00,-1.63
8.693058013916016,-3608.00,13016.00,9460.00,-240.00,67.00,213.00,-1.48
8.750534296035767,-3640.00,12844.00,9652.00,-622.00,130.00,35.00,-1.41
8.803869247436523,-3600.00,13060.00,9348.00,-761.00,19.00,55.00,-1.26
8.860950946807861,-3532.00,12780.00,9764.00,-996.00,4.00,59.00,-1.47
8.913808822631836,-3664.00,12812.00,9648.00,-1185.00,-24.00,1.00,-1.47
8.974968671798706,-3632.00,12820.00,10016.00,-1102.00,-14.00,23.00,-1.23
9.032676458358765,-3608.00,12724.00,10284.00,-1100.00,-30.00,-1.00,-1.32
9.090105056762695,-3672.00,12684.00,10360.00,-935.00,-15.00,73.00,-1.24
9.143627882003784,-3720.00,12616.00,10328.00,-783.00,26.00,6.00,-1.27
