T (ms),AceX,AceY,AceZ,GirX,GirY,GirZ,Altura
112.0,17516.00,-388.00,1232.00,-895.00,-19.00,131.00,-0.94
113.0,17512.00,-448.00,1380.00,-894.00,-5.00,109.00,-0.68
114.0,17528.00,-524.00,1240.00,-823.00,-20.00,121.00,-0.68
115.0,17576.00,-448.00,1344.00,-881.00,1.00,108.00,-0.83
116.0,17512.00,-420.00,1296.00,-873.00,19.00,108.00,-0.89
117.0,17504.00,-296.00,1432.00,-898.00,-3.00,99.00,-0.70
118.0,17520.00,-476.00,1324.00,-880.00,13.00,108.00,-0.90
119.0,17488.00,-376.00,1328.00,-913.00,60.00,116.00,-0.83
120.0,17588.00,-532.00,1292.00,-912.00,21.00,112.00,-0.93
121.0,17532.00,-388.00,1260.00,-863.00,3.00,110.00,-0.93
122.0,17540.00,-420.00,1284.00,-874.00,-1.00,112.00,-0.83
123.0,17604.00,-464.00,1300.00,-862.00,-10.00,101.00,-1.00
124.0,17540.00,-496.00,1400.00,-852.00,-24.00,93.00,-0.90
125.0,17452.00,-356.00,1308.00,-857.00,5.00,104.00,-0.95
126.0,17492.00,-376.00,1432.00,-858.00,-10.00,113.00,-0.88
127.0,17496.00,-456.00,1288.00,-861.00,-15.00,136.00,-0.88
128.0,17508.00,-456.00,1436.00,-849.00,-24.00,100.00,-0.79
129.0,17528.00,-432.00,1344.00,-874.00,15.00,95.00,-0.90
130.0,17564.00,-384.00,1420.00,-873.00,-42.00,103.00,-0.92
131.0,17460.00,-456.00,1276.00,-860.00,4.00,114.00,-0.93
132.0,17560.00,-296.00,1400.00,-860.00,0.00,111.00,-0.85
133.0,17464.00,-432.00,1388.00,-871.00,16.00,98.00,-0.71
134.0,17404.00,-524.00,1288.00,-843.00,-12.00,86.00,-0.71
135.0,17564.00,-504.00,1336.00,-894.00,0.00,101.00,-0.90
136.0,17508.00,-476.00,1280.00,-888.00,19.00,101.00,-1.22
137.0,17564.00,-388.00,1416.00,-898.00,7.00,115.00,-0.82
138.0,17560.00,-372.00,1448.00,-880.00,-22.00,113.00,-0.91
139.0,17488.00,-288.00,1284.00,-905.00,19.00,97.00,-1.09
140.0,17484.00,-472.00,1368.00,-858.00,3.00,129.00,-1.09
141.0,17464.00,-388.00,1456.00,-903.00,-7.00,112.00,-0.76
142.0,17560.00,-420.00,1388.00,-898.00,-10.00,110.00,-0.95
143.0,17492.00,-452.00,1364.00,-902.00,3.00,127.00,-1.05
144.0,17472.00,-368.00,1336.00,-880.00,26.00,102.00,-1.08
145.0,17472.00,-412.00,1340.00,-898.00,8.00,113.00,-0.89
146.0,17508.00,-468.00,1332.00,-868.00,-13.00,119.00,-0.89
147.0,17532.00,-476.00,1400.00,-936.00,24.00,136.00,-1.13
148.0,17516.00,-440.00,1340.00,-879.00,-12.00,96.00,-1.19
149.0,17488.00,-444.00,1304.00,-928.00,43.00,124.00,-1.38
150.0,17516.00,-404.00,1280.00,-867.00,2.00,99.00,-1.17
151.0,17444.00,-412.00,1264.00,-876.00,11.00,83.00,-0.88
152.0,17568.00,-468.00,1268.00,-863.00,-2.00,111.00,-0.88
153.0,17580.00,-400.00,1324.00,-918.00,55.00,116.00,-1.13
154.0,17504.00,-344.00,1424.00,-853.00,-41.00,123.00,-0.81
155.0,17512.00,-392.00,1228.00,-897.00,-6.00,99.00,-0.97
156.0,17436.00,-436.00,1504.00,-869.00,11.00,131.00,-1.13
157.0,17572.00,-440.00,1324.00,-915.00,18.00,109.00,-0.69
158.0,17528.00,-452.00,1456.00,-880.00,5.00,105.00,-0.83
159.0,17516.00,-408.00,1424.00,-903.00,20.00,100.00,-0.83
160.0,17492.00,-384.00,1380.00,-850.00,-23.00,100.00,-0.82
161.0,17612.00,-332.00,1316.00,-862.00,-4.00,119.00,-0.88
162.0,17564.00,-452.00,1364.00,-888.00,0.00,135.00,-0.72
163.0,17468.00,-376.00,1296.00,-937.00,57.00,144.00,-0.76
164.0,17508.00,-480.00,1444.00,-869.00,-6.00,116.00,-0.85
165.0,17424.00,-412.00,1344.00,-896.00,-11.00,113.00,-0.85
166.0,17532.00,-352.00,1308.00,-872.00,-9.00,80.00,-0.88
167.0,17488.00,-376.00,1324.00,-866.00,5.00,105.00,-0.92
168.0,17492.00,-360.00,1244.00,-864.00,11.00,113.00,-1.29
169.0,17480.00,-400.00,1380.00,-886.00,-4.00,118.00,-0.83
170.0,17496.00,-388.00,1284.00,-878.00,-56.00,133.00,-0.95
171.0,17424.00,-400.00,1292.00,-882.00,8.00,111.00,-0.95
172.0,17540.00,-420.00,1432.00,-856.00,-6.00,107.00,-1.08
173.0,17532.00,-364.00,1372.00,-874.00,20.00,118.00,-1.26
174.0,17500.00,-440.00,1252.00,-880.00,54.00,99.00,-1.24
175.0,17420.00,-368.00,1336.00,-896.00,-2.00,90.00,-1.18
176.0,17576.00,-432.00,1356.00,-915.00,-30.00,144.00,-0.81
177.0,17548.00,-404.00,1272.00,-886.00,13.00,119.00,-1.01
178.0,17616.00,-324.00,1436.00,-887.00,1.00,102.00,-1.01
179.0,17556.00,-420.00,1332.00,-861.00,-39.00,106.00,-0.96
180.0,17504.00,-444.00,1368.00,-813.00,-35.00,79.00,-1.00
181.0,17536.00,-468.00,1316.00,-869.00,-13.00,89.00,-0.95
182.0,17524.00,-404.00,1344.00,-890.00,-7.00,116.00,-0.92
183.0,17644.00,-468.00,1276.00,-893.00,24.00,111.00,-1.02
184.0,17532.00,-360.00,1352.00,-873.00,-10.00,123.00,-1.02
185.0,17532.00,-464.00,1336.00,-885.00,-18.00,124.00,-0.92
186.0,17552.00,-412.00,1288.00,-878.00,32.00,100.00,-1.00
187.0,17436.00,-360.00,1336.00,-861.00,15.00,107.00,-1.08
188.0,17524.00,-448.00,1312.00,-862.00,-5.00,126.00,-1.06
189.0,17480.00,-588.00,1272.00,-845.00,-7.00,92.00,-0.66
190.0,17528.00,-416.00,1356.00,-852.00,-59.00,118.00,-1.07
191.0,17512.00,-312.00,1316.00,-885.00,-5.00,123.00,-1.07
192.0,17452.00,-460.00,1388.00,-919.00,18.00,120.00,-0.62
193.0,17472.00,-368.00,1396.00,-864.00,13.00,110.00,-0.79
194.0,17572.00,-404.00,1372.00,-874.00,-11.00,114.00,-1.18
195.0,17500.00,-428.00,1296.00,-881.00,-16.00,110.00,-1.08
196.0,17532.00,-420.00,1264.00,-890.00,20.00,124.00,-1.22
197.0,17492.00,-484.00,1424.00,-886.00,-7.00,107.00,-1.22
198.0,17468.00,-404.00,1352.00,-885.00,24.00,121.00,-1.12
199.0,17564.00,-484.00,1508.00,-861.00,-3.00,119.00,-0.92
200.0,17480.00,-392.00,1448.00,-882.00,7.00,123.00,-0.92
201.0,17524.00,-396.00,1464.00,-851.00,7.00,107.00,-0.78
202.0,17536.00,-464.00,1360.00,-886.00,-1.00,110.00,-1.20
203.0,17528.00,-404.00,1332.00,-869.00,-10.00,92.00,-1.09
204.0,17484.00,-428.00,1372.00,-904.00,-15.00,142.00,-1.09
205.0,17508.00,-344.00,1436.00,-876.00,2.00,93.00,-1.05
206.0,17576.00,-372.00,1448.00,-926.00,14.00,128.00,-1.14
207.0,17560.00,-376.00,1344.00,-865.00,-1.00,135.00,-0.92
208.0,17480.00,-384.00,1444.00,-888.00,0.00,108.00,-0.95
209.0,17424.00,-424.00,1352.00,-878.00,27.00,94.00,-1.08
